OBJNAME,RA,DEC,Z,constellation
CGCG 118-038,120.01687499999998,23.43786111111111,2.921e-02,Gemini
NGC 2495,120.13812499999999,39.84002777777778,2.809e-02,Lynx
KUG 0757+468,120.19920833333332,46.69047222222222,1.938e-02,Lynx
UGC 04154,120.02620833333333,13.152111111111111,1.540e-02,Cancer
IC 0486,120.08741666666666,26.61352777777778,2.674e-02,Gemini
CGCG 118-042,120.20895833333331,22.901416666666666,1.844e-02,Cancer
UGC 04162,120.19179166666666,16.54727777777778,1.455e-02,Cancer
UGC 04170,120.346375,15.369250000000001,1.555e-02,Cancer
NGC 2507,120.40504166666668,15.70975,1.522e-02,Cancer
CGCG 148-097,120.51754166666666,27.224916666666665,2.208e-02,Cancer
IC 2219,120.65220833333332,27.4375,1.743e-02,Cancer
CGCG 118-051,120.64866666666664,22.88686111111111,2.952e-02,Cancer
NGC 2512,120.78270833333335,23.391833333333334,1.568e-02,Cancer
CGCG 088-024,120.75725,16.331694444444445,1.539e-02,Cancer
MRK 0385,120.86695833333334,25.102666666666668,2.757e-02,Cancer
CGCG 148-107,121.06708333333331,30.18261111111111,1.384e-02,Gemini
UGC 04213,121.61420833333331,50.95480555555556,2.254e-02,Lynx
CGCG 118-060,121.5489583333333,20.996972222222222,1.592e-02,Cancer
CGCG 148-113,121.62574999999997,26.898916666666665,2.559e-02,Cancer
UGC 04226,121.83924999999999,40.39822222222222,2.636e-02,Lynx
UGC 04229,121.92099999999999,39.004222222222225,2.335e-02,Lynx
UGC 04232,121.84079166666668,17.75197222222222,1.718e-02,Cancer
UGC 04233,121.82195833333333,8.86913888888889,2.966e-02,Cancer
CGCG 178-029,122.0434583333333,37.76291666666667,2.180e-02,Lynx
UGC 04246,122.36341666666665,43.934916666666666,2.296e-02,Lynx
UGC 04252,122.49979166666664,40.10319444444445,2.043e-02,Lynx
MCG +10-12-084,122.73766666666666,56.76786111111111,2.812e-02,Lynx
SBS 0807+571,122.76362499999999,57.029222222222224,2.804e-02,Lynx
SBS 0807+581,122.97295833333334,57.951888888888895,2.775e-02,Lynx
MCG +09-14-011,123.03512499999997,52.91127777777778,1.880e-02,Lynx
CGCG 263-011,123.03966666666663,52.455222222222226,1.874e-02,Lynx
CGCG 059-051,122.86279166666665,8.941027777777778,1.957e-02,Cancer
CGCG 059-050,122.85620833333333,8.893944444444443,1.969e-02,Cancer
NGC 2538,122.84612499999999,3.6331944444444444,1.334e-02,Canis Minor
SBS 0808+580B,123.21070833333332,57.921527777777776,2.686e-02,Lynx
MCG +10-12-092,123.24304166666664,57.88363888888889,2.719e-02,Lynx
UGC 04269,123.00666666666663,19.36466666666667,2.846e-02,Cancer
CGCG 263-016,123.28808333333332,54.63741666666667,2.444e-02,Lynx
CGCG 287-053,123.32179166666664,58.010527777777774,2.610e-02,Lynx
UGC 04270,123.33804166666665,57.85225,2.667e-02,Lynx
CGCG 263-017,123.30912499999998,52.45872222222223,1.834e-02,Lynx
CGCG 031-070,123.01649999999997,5.475083333333333,2.994e-02,Hydra
SBS 0809+582,123.44583333333331,58.0805,2.753e-02,Lynx
UGC 04276,123.19812499999998,9.38661111111111,2.946e-02,Cancer
KUG 0810+222,123.42112499999999,22.070305555555557,2.237e-02,Cancer
UGC 04289,123.93683333333333,58.321000000000005,2.705e-02,Lynx
CGCG 287-064,124.02191666666666,58.00555555555555,2.610e-02,Lynx
KUG 0812+288,123.8475,28.73536111111111,1.972e-02,Cancer
UGC 04293,124.077,52.42194444444444,1.816e-02,Lynx
CGCG 207-050,124.08141666666666,41.71625,2.489e-02,Lynx
CGCG 149-009,124.05099999999999,31.441333333333333,2.036e-02,Cancer
IC 2256,124.22679166666666,24.176833333333335,6.978e-03,Cancer
SBS 0814+579A,124.54420833333332,57.75886111111111,2.680e-02,Lynx
CGCG 207-053,124.45579166666664,38.795361111111106,2.122e-02,Lynx
CGCG 149-011,124.531625,26.63386111111111,2.017e-02,Cancer
ARK 157,124.84124999999997,35.04725,1.755e-02,Lynx
IC 2288,124.84324999999998,23.747305555555556,1.533e-02,Cancer
UGC 04333,125.15704166666666,52.51833333333333,1.743e-02,Lynx
CGCG 287-072,125.19062500000001,56.490944444444445,2.922e-02,Lynx
UGC 04344,125.06904166666666,20.875083333333333,1.678e-02,Cancer
UGC 04357,125.66666666666666,56.32936111111111,2.813e-02,Lynx
NGC 2575,125.68733333333333,24.296916666666668,1.293e-02,Cancer
UGC 04373,125.74408333333332,27.707694444444442,1.979e-02,Cancer
KUG 0820+272,125.87441666666665,27.136499999999998,2.380e-02,Cancer
UGC 04380,126.13279166666665,54.85388888888889,2.496e-02,Lynx
CGCG 060-004,125.86904166666663,9.401,2.686e-02,Cancer
CGCG 119-086,126.12108333333332,21.044500000000003,2.180e-02,Cancer
